incident_id,task_id,item_id,location_id,exception_type,description,observed_quantity,expected_quantity,previous_location,resolution,resolution_category,resolution_time_seconds,operator_id,created_at
INC-0020,TASK-1017,X135,A20-B03,DAMAGED_ITEM,DAMAGED_ITEM: Torn product seal observed. Product quarantined for inspection.,3,3,A20-B03,Resolved via damage exception.,DAMAGE_EXCEPTION,214,OP-105,2026-08-08T10:51:00Z
INC-0021,TASK-1018,X136,A01-B01,LOCATION_DISCREPANCY,LOCATION_DISCREPANCY: Item transferred to Zone Z02 without WMS update.,3,3,A01-B01,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,295,OP-101,2026-08-15T08:35:00Z
INC-0022,TASK-1019,X137,A01-B02,MISSING_ITEM,"MISSING_ITEM: Bin empty, flagged for urgent cycle count refill.",0,1,A01-B02,Resolved via cycle count flagged.,CYCLE_COUNT_FLAGGED,299,OP-105,2026-08-15T10:51:00Z
INC-0023,TASK-1020,X138,A01-B03,QUANTITY_MISMATCH,QUANTITY_MISMATCH: Physical quantity verified; system count updated after recount.,0,1,A01-B03,Resolved via inventory verification.,INVENTORY_VERIFICATION,277,OP-104,2026-08-20T13:48:00Z
INC-0024,TASK-1021,X139,A01-B04,WRONG_ITEM,WRONG_ITEM: Wrong variant stored in location. Relocated to correct zone.,3,3,A01-B04,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,322,OP-104,2026-08-20T19:57:00Z
INC-0025,TASK-1022,X140,A01-B05,BARCODE_FAILURE,BARCODE_FAILURE: Scanned master carton barcode instead of item barcode. Alternate barcode verified.,4,4,A01-B05,Resolved via alternate barcode verification.,ALTERNATE_BARCODE_VERIFICATION,100,OP-104,2026-08-18T15:57:00Z
INC-0026,TASK-1023,X141,A02-B01,DAMAGED_ITEM,DAMAGED_ITEM: Torn product seal observed. Product quarantined for inspection.,1,1,A02-B01,Resolved via damage exception.,DAMAGE_EXCEPTION,185,OP-103,2026-08-15T12:48:00Z
INC-0027,TASK-1024,X142,A02-B02,LOCATION_DISCREPANCY,LOCATION_DISCREPANCY: Item transferred to Zone Z02 without WMS update.,5,5,A02-B02,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,311,OP-102,2026-08-25T20:33:00Z
INC-0028,TASK-1025,X143,A02-B03,MISSING_ITEM,MISSING_ITEM: Found item at neighbouring bin location.,0,2,A02-B03,Resolved via check neighbouring location.,CHECK_NEIGHBOURING_LOCATION,195,OP-103,2026-08-09T15:04:00Z
INC-0029,TASK-1026,X144,A02-B04,QUANTITY_MISMATCH,QUANTITY_MISMATCH: Observed count verified with supervisor. Inventory adjusted.,0,1,A02-B04,Resolved via inventory verification.,INVENTORY_VERIFICATION,447,OP-105,2026-08-09T13:20:00Z
INC-0030,TASK-1027,X145,A02-B05,WRONG_ITEM,WRONG_ITEM: Wrong variant stored in location. Relocated to correct zone.,2,2,A02-B05,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,304,OP-104,2026-08-03T10:09:00Z
INC-0031,TASK-1028,X146,A03-B01,BARCODE_FAILURE,BARCODE_FAILURE: Scanned master carton barcode instead of item barcode. Alternate barcode verified.,4,4,A03-B01,Resolved via alternate barcode verification.,ALTERNATE_BARCODE_VERIFICATION,103,OP-101,2026-08-23T10:45:00Z
INC-0032,TASK-1029,X147,A03-B02,DAMAGED_ITEM,DAMAGED_ITEM: Torn product seal observed. Product quarantined for inspection.,2,2,A03-B02,Resolved via damage exception.,DAMAGE_EXCEPTION,204,OP-104,2026-08-14T14:21:00Z
INC-0033,TASK-1030,X148,A03-B03,LOCATION_DISCREPANCY,LOCATION_DISCREPANCY: Item transferred to Zone Z02 without WMS update.,2,2,A03-B03,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,333,OP-104,2026-08-14T08:13:00Z
INC-0034,TASK-1031,X149,A03-B04,MISSING_ITEM,"MISSING_ITEM: Bin empty, flagged for urgent cycle count refill.",0,2,A03-B04,Resolved via cycle count flagged.,CYCLE_COUNT_FLAGGED,330,OP-101,2026-08-13T20:37:00Z
INC-0035,TASK-1032,X150,A03-B05,QUANTITY_MISMATCH,QUANTITY_MISMATCH: Physical quantity verified; system count updated after recount.,0,1,A03-B05,Resolved via inventory verification.,INVENTORY_VERIFICATION,280,OP-103,2026-08-13T15:00:00Z
INC-0036,TASK-1033,X151,A04-B01,WRONG_ITEM,WRONG_ITEM: Wrong variant stored in location. Relocated to correct zone.,2,2,A04-B01,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,344,OP-104,2026-08-10T20:24:00Z
INC-0037,TASK-1034,X152,A04-B02,BARCODE_FAILURE,BARCODE_FAILURE: Scanned master carton barcode instead of item barcode. Alternate barcode verified.,3,3,A04-B02,Resolved via alternate barcode verification.,ALTERNATE_BARCODE_VERIFICATION,124,OP-105,2026-08-18T19:47:00Z
INC-0038,TASK-1035,X153,A04-B03,DAMAGED_ITEM,DAMAGED_ITEM: Torn product seal observed. Product quarantined for inspection.,2,2,A04-B03,Resolved via damage exception.,DAMAGE_EXCEPTION,187,OP-104,2026-08-08T15:14:00Z
INC-0039,TASK-1036,X154,A04-B04,LOCATION_DISCREPANCY,LOCATION_DISCREPANCY: Item transferred to Zone Z02 without WMS update.,1,1,A04-B04,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,301,OP-104,2026-08-16T08:24:00Z
INC-0040,TASK-1037,X155,A04-B05,MISSING_ITEM,MISSING_ITEM: Found item at neighbouring bin location.,0,5,A04-B05,Resolved via check neighbouring location.,CHECK_NEIGHBOURING_LOCATION,179,OP-102,2026-08-24T10:53:00Z
INC-0041,TASK-1038,X156,A05-B01,QUANTITY_MISMATCH,QUANTITY_MISMATCH: Observed count verified with supervisor. Inventory adjusted.,0,1,A05-B01,Resolved via inventory verification.,INVENTORY_VERIFICATION,415,OP-105,2026-08-18T08:58:00Z
INC-0042,TASK-1039,X157,A05-B02,WRONG_ITEM,WRONG_ITEM: Wrong variant stored in location. Relocated to correct zone.,3,3,A05-B02,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,295,OP-104,2026-08-19T18:01:00Z
INC-0043,TASK-1040,X158,A05-B03,BARCODE_FAILURE,BARCODE_FAILURE: Scanned master carton barcode instead of item barcode. Alternate barcode verified.,4,4,A05-B03,Resolved via alternate barcode verification.,ALTERNATE_BARCODE_VERIFICATION,93,OP-103,2026-08-05T15:11:00Z
INC-0044,TASK-1041,X159,A05-B04,DAMAGED_ITEM,DAMAGED_ITEM: Torn product seal observed. Product quarantined for inspection.,2,2,A05-B04,Resolved via damage exception.,DAMAGE_EXCEPTION,199,OP-103,2026-08-13T13:13:00Z
INC-0045,TASK-1042,X160,A05-B05,LOCATION_DISCREPANCY,LOCATION_DISCREPANCY: Item transferred to Zone Z02 without WMS update.,5,5,A05-B05,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,304,OP-103,2026-08-11T20:56:00Z
INC-0046,TASK-1043,X161,A06-B01,MISSING_ITEM,"MISSING_ITEM: Bin empty, flagged for urgent cycle count refill.",0,3,A06-B01,Resolved via cycle count flagged.,CYCLE_COUNT_FLAGGED,323,OP-101,2026-08-25T14:16:00Z
INC-0047,TASK-1044,X162,A15-B04,QUANTITY_MISMATCH,QUANTITY_MISMATCH: Physical quantity verified; system count updated after recount.,2,4,A15-B04,Resolved via inventory verification.,INVENTORY_VERIFICATION,223,OP-103,2026-08-01T19:34:00Z
INC-0048,TASK-1045,X163,A15-B03,WRONG_ITEM,WRONG_ITEM: Wrong variant stored in location. Relocated to correct zone.,3,3,A15-B03,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,339,OP-101,2026-08-08T18:04:00Z
INC-0049,TASK-1001,X123,A15-B04,BARCODE_FAILURE,BARCODE_FAILURE: Scanned master carton barcode instead of item barcode. Alternate barcode verified.,3,3,A15-B04,Resolved via alternate barcode verification.,ALTERNATE_BARCODE_VERIFICATION,102,OP-101,2026-08-25T08:15:00Z
INC-0050,TASK-1002,X124,A12-B03,DAMAGED_ITEM,DAMAGED_ITEM: Torn product seal observed. Product quarantined for inspection.,1,1,A12-B03,Resolved via damage exception.,DAMAGE_EXCEPTION,178,OP-104,2026-08-20T10:15:00Z
INC-0051,TASK-1003,X125,A20-B02,LOCATION_DISCREPANCY,LOCATION_DISCREPANCY: Item transferred to Zone Z02 without WMS update.,10,10,A20-B02,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,340,OP-102,2026-08-22T09:36:00Z
INC-0052,TASK-1004,X123,A15-B04,MISSING_ITEM,MISSING_ITEM: Found item at neighbouring bin location.,0,3,A15-B04,Resolved via check neighbouring location.,CHECK_NEIGHBOURING_LOCATION,199,OP-103,2026-08-15T19:16:00Z
INC-0053,TASK-1005,X123-OVERFLOW,A15-B05,QUANTITY_MISMATCH,QUANTITY_MISMATCH: Observed count verified with supervisor. Inventory adjusted.,0,1,A15-B05,Resolved via inventory verification.,INVENTORY_VERIFICATION,435,OP-101,2026-08-20T17:47:00Z
INC-0054,TASK-1006,X124,A12-B03,WRONG_ITEM,WRONG_ITEM: Wrong variant stored in location. Relocated to correct zone.,2,2,A12-B03,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,296,OP-105,2026-08-25T10:19:00Z
INC-0055,TASK-1007,X125,A20-B02,BARCODE_FAILURE,BARCODE_FAILURE: Scanned master carton barcode instead of item barcode. Alternate barcode verified.,4,4,A20-B02,Resolved via alternate barcode verification.,ALTERNATE_BARCODE_VERIFICATION,133,OP-104,2026-08-01T12:36:00Z
INC-0056,TASK-1008,X126,A15-B04,DAMAGED_ITEM,DAMAGED_ITEM: Torn product seal observed. Product quarantined for inspection.,3,3,A15-B04,Resolved via damage exception.,DAMAGE_EXCEPTION,174,OP-105,2026-08-13T19:12:00Z
INC-0057,TASK-1009,X127,A15-B03,LOCATION_DISCREPANCY,LOCATION_DISCREPANCY: Item transferred to Zone Z02 without WMS update.,5,5,A15-B03,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,286,OP-103,2026-08-23T18:15:00Z
INC-0058,TASK-1010,X128,A15-B05,MISSING_ITEM,"MISSING_ITEM: Bin empty, flagged for urgent cycle count refill.",0,5,A15-B05,Resolved via cycle count flagged.,CYCLE_COUNT_FLAGGED,277,OP-105,2026-08-22T17:51:00Z
INC-0059,TASK-1011,X129,A15-B06,QUANTITY_MISMATCH,QUANTITY_MISMATCH: Physical quantity verified; system count updated after recount.,2,3,A15-B06,Resolved via inventory verification.,INVENTORY_VERIFICATION,262,OP-103,2026-08-12T16:27:00Z
INC-0060,TASK-1012,X130,A12-B03,WRONG_ITEM,WRONG_ITEM: Wrong variant stored in location. Relocated to correct zone.,3,3,A12-B03,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,311,OP-101,2026-08-03T16:41:00Z
INC-0061,TASK-1013,X131,A12-B02,BARCODE_FAILURE,BARCODE_FAILURE: Scanned master carton barcode instead of item barcode. Alternate barcode verified.,3,3,A12-B02,Resolved via alternate barcode verification.,ALTERNATE_BARCODE_VERIFICATION,117,OP-103,2026-08-14T15:06:00Z
INC-0062,TASK-1014,X132,A12-B04,DAMAGED_ITEM,DAMAGED_ITEM: Torn product seal observed. Product quarantined for inspection.,5,5,A12-B04,Resolved via damage exception.,DAMAGE_EXCEPTION,179,OP-104,2026-08-21T15:45:00Z
INC-0063,TASK-1015,X133,A20-B02,LOCATION_DISCREPANCY,LOCATION_DISCREPANCY: Item transferred to Zone Z02 without WMS update.,3,3,A20-B02,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,321,OP-103,2026-08-06T19:33:00Z
INC-0064,TASK-1016,X134,A20-B01,MISSING_ITEM,MISSING_ITEM: Found item at neighbouring bin location.,0,5,A20-B01,Resolved via check neighbouring location.,CHECK_NEIGHBOURING_LOCATION,184,OP-104,2026-08-20T20:58:00Z
INC-0065,TASK-1017,X135,A20-B03,QUANTITY_MISMATCH,QUANTITY_MISMATCH: Observed count verified with supervisor. Inventory adjusted.,1,3,A20-B03,Resolved via inventory verification.,INVENTORY_VERIFICATION,407,OP-103,2026-08-14T19:37:00Z
INC-0066,TASK-1018,X136,A01-B01,WRONG_ITEM,WRONG_ITEM: Wrong variant stored in location. Relocated to correct zone.,3,3,A01-B01,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,346,OP-104,2026-08-08T09:17:00Z
INC-0067,TASK-1019,X137,A01-B02,BARCODE_FAILURE,BARCODE_FAILURE: Scanned master carton barcode instead of item barcode. Alternate barcode verified.,1,1,A01-B02,Resolved via alternate barcode verification.,ALTERNATE_BARCODE_VERIFICATION,126,OP-105,2026-08-08T20:29:00Z
INC-0068,TASK-1020,X138,A01-B03,DAMAGED_ITEM,DAMAGED_ITEM: Torn product seal observed. Product quarantined for inspection.,1,1,A01-B03,Resolved via damage exception.,DAMAGE_EXCEPTION,171,OP-104,2026-08-22T14:21:00Z
INC-0069,TASK-1021,X139,A01-B04,LOCATION_DISCREPANCY,LOCATION_DISCREPANCY: Item transferred to Zone Z02 without WMS update.,3,3,A01-B04,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,293,OP-103,2026-08-11T10:31:00Z
INC-0070,TASK-1022,X140,A01-B05,MISSING_ITEM,"MISSING_ITEM: Bin empty, flagged for urgent cycle count refill.",0,4,A01-B05,Resolved via cycle count flagged.,CYCLE_COUNT_FLAGGED,326,OP-105,2026-08-09T13:17:00Z
INC-0071,TASK-1023,X141,A02-B01,QUANTITY_MISMATCH,QUANTITY_MISMATCH: Physical quantity verified; system count updated after recount.,0,1,A02-B01,Resolved via inventory verification.,INVENTORY_VERIFICATION,253,OP-102,2026-08-09T16:00:00Z
INC-0072,TASK-1024,X142,A02-B02,WRONG_ITEM,WRONG_ITEM: Wrong variant stored in location. Relocated to correct zone.,5,5,A02-B02,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,316,OP-104,2026-08-03T11:46:00Z
INC-0073,TASK-1025,X143,A02-B03,BARCODE_FAILURE,BARCODE_FAILURE: Scanned master carton barcode instead of item barcode. Alternate barcode verified.,2,2,A02-B03,Resolved via alternate barcode verification.,ALTERNATE_BARCODE_VERIFICATION,134,OP-104,2026-08-18T20:15:00Z
INC-0074,TASK-1026,X144,A02-B04,DAMAGED_ITEM,DAMAGED_ITEM: Torn product seal observed. Product quarantined for inspection.,1,1,A02-B04,Resolved via damage exception.,DAMAGE_EXCEPTION,198,OP-101,2026-08-21T19:31:00Z
INC-0075,TASK-1027,X145,A02-B05,LOCATION_DISCREPANCY,LOCATION_DISCREPANCY: Item transferred to Zone Z02 without WMS update.,2,2,A02-B05,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,305,OP-102,2026-08-03T12:14:00Z
INC-0076,TASK-1028,X146,A03-B01,MISSING_ITEM,MISSING_ITEM: Found item at neighbouring bin location.,0,4,A03-B01,Resolved via check neighbouring location.,CHECK_NEIGHBOURING_LOCATION,173,OP-104,2026-08-10T18:37:00Z
INC-0077,TASK-1029,X147,A03-B02,QUANTITY_MISMATCH,QUANTITY_MISMATCH: Observed count verified with supervisor. Inventory adjusted.,0,2,A03-B02,Resolved via inventory verification.,INVENTORY_VERIFICATION,437,OP-105,2026-08-17T13:27:00Z
INC-0078,TASK-1030,X148,A03-B03,WRONG_ITEM,WRONG_ITEM: Wrong variant stored in location. Relocated to correct zone.,2,2,A03-B03,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,319,OP-103,2026-08-11T13:44:00Z
INC-0079,TASK-1031,X149,A03-B04,BARCODE_FAILURE,BARCODE_FAILURE: Scanned master carton barcode instead of item barcode. Alternate barcode verified.,2,2,A03-B04,Resolved via alternate barcode verification.,ALTERNATE_BARCODE_VERIFICATION,97,OP-102,2026-08-10T12:14:00Z
INC-0080,TASK-1032,X150,A03-B05,DAMAGED_ITEM,DAMAGED_ITEM: Torn product seal observed. Product quarantined for inspection.,1,1,A03-B05,Resolved via damage exception.,DAMAGE_EXCEPTION,204,OP-102,2026-08-11T09:47:00Z
INC-0081,TASK-1033,X151,A04-B01,LOCATION_DISCREPANCY,LOCATION_DISCREPANCY: Item transferred to Zone Z02 without WMS update.,2,2,A04-B01,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,310,OP-103,2026-08-07T11:47:00Z
INC-0082,TASK-1034,X152,A04-B02,MISSING_ITEM,"MISSING_ITEM: Bin empty, flagged for urgent cycle count refill.",0,3,A04-B02,Resolved via cycle count flagged.,CYCLE_COUNT_FLAGGED,303,OP-105,2026-08-24T17:48:00Z
INC-0083,TASK-1035,X153,A04-B03,QUANTITY_MISMATCH,QUANTITY_MISMATCH: Physical quantity verified; system count updated after recount.,0,2,A04-B03,Resolved via inventory verification.,INVENTORY_VERIFICATION,234,OP-103,2026-08-04T11:18:00Z
INC-0084,TASK-1036,X154,A04-B04,WRONG_ITEM,WRONG_ITEM: Wrong variant stored in location. Relocated to correct zone.,1,1,A04-B04,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,335,OP-105,2026-08-06T12:00:00Z
INC-0085,TASK-1037,X155,A04-B05,BARCODE_FAILURE,BARCODE_FAILURE: Scanned master carton barcode instead of item barcode. Alternate barcode verified.,5,5,A04-B05,Resolved via alternate barcode verification.,ALTERNATE_BARCODE_VERIFICATION,93,OP-105,2026-08-05T12:02:00Z
INC-0086,TASK-1038,X156,A05-B01,DAMAGED_ITEM,DAMAGED_ITEM: Torn product seal observed. Product quarantined for inspection.,1,1,A05-B01,Resolved via damage exception.,DAMAGE_EXCEPTION,210,OP-104,2026-08-10T19:08:00Z
INC-0087,TASK-1039,X157,A05-B02,LOCATION_DISCREPANCY,LOCATION_DISCREPANCY: Item transferred to Zone Z02 without WMS update.,3,3,A05-B02,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,298,OP-104,2026-08-04T08:36:00Z
INC-0088,TASK-1040,X158,A05-B03,MISSING_ITEM,MISSING_ITEM: Found item at neighbouring bin location.,0,4,A05-B03,Resolved via check neighbouring location.,CHECK_NEIGHBOURING_LOCATION,161,OP-101,2026-08-16T15:21:00Z
INC-0089,TASK-1041,X159,A05-B04,QUANTITY_MISMATCH,QUANTITY_MISMATCH: Observed count verified with supervisor. Inventory adjusted.,0,2,A05-B04,Resolved via inventory verification.,INVENTORY_VERIFICATION,394,OP-104,2026-08-16T09:52:00Z
INC-0090,TASK-1042,X160,A05-B05,WRONG_ITEM,WRONG_ITEM: Wrong variant stored in location. Relocated to correct zone.,5,5,A05-B05,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,330,OP-101,2026-08-16T09:36:00Z
INC-0091,TASK-1043,X161,A06-B01,BARCODE_FAILURE,BARCODE_FAILURE: Scanned master carton barcode instead of item barcode. Alternate barcode verified.,3,3,A06-B01,Resolved via alternate barcode verification.,ALTERNATE_BARCODE_VERIFICATION,126,OP-103,2026-08-05T10:51:00Z
INC-0092,TASK-1044,X162,A15-B04,DAMAGED_ITEM,DAMAGED_ITEM: Torn product seal observed. Product quarantined for inspection.,4,4,A15-B04,Resolved via damage exception.,DAMAGE_EXCEPTION,205,OP-104,2026-08-03T11:07:00Z
INC-0093,TASK-1045,X163,A15-B03,LOCATION_DISCREPANCY,LOCATION_DISCREPANCY: Item transferred to Zone Z02 without WMS update.,3,3,A15-B03,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,319,OP-102,2026-08-20T17:50:00Z
INC-0094,TASK-1001,X123,A15-B04,MISSING_ITEM,"MISSING_ITEM: Bin empty, flagged for urgent cycle count refill.",0,3,A15-B04,Resolved via cycle count flagged.,CYCLE_COUNT_FLAGGED,298,OP-104,2026-08-25T16:24:00Z
INC-0095,TASK-1002,X124,A12-B03,QUANTITY_MISMATCH,QUANTITY_MISMATCH: Physical quantity verified; system count updated after recount.,0,1,A12-B03,Resolved via inventory verification.,INVENTORY_VERIFICATION,256,OP-105,2026-08-19T14:19:00Z
INC-0096,TASK-1003,X125,A20-B02,WRONG_ITEM,WRONG_ITEM: Wrong variant stored in location. Relocated to correct zone.,10,10,A20-B02,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,296,OP-102,2026-08-02T17:47:00Z
INC-0097,TASK-1004,X123,A15-B04,BARCODE_FAILURE,BARCODE_FAILURE: Scanned master carton barcode instead of item barcode. Alternate barcode verified.,3,3,A15-B04,Resolved via alternate barcode verification.,ALTERNATE_BARCODE_VERIFICATION,132,OP-101,2026-08-21T11:16:00Z
INC-0098,TASK-1005,X123-OVERFLOW,A15-B05,DAMAGED_ITEM,DAMAGED_ITEM: Torn product seal observed. Product quarantined for inspection.,1,1,A15-B05,Resolved via damage exception.,DAMAGE_EXCEPTION,205,OP-101,2026-08-06T11:11:00Z
INC-0099,TASK-1006,X124,A12-B03,LOCATION_DISCREPANCY,LOCATION_DISCREPANCY: Item transferred to Zone Z02 without WMS update.,2,2,A12-B03,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,308,OP-105,2026-08-06T08:26:00Z
INC-0100,TASK-1007,X125,A20-B02,MISSING_ITEM,MISSING_ITEM: Found item at neighbouring bin location.,0,4,A20-B02,Resolved via check neighbouring location.,CHECK_NEIGHBOURING_LOCATION,164,OP-103,2026-08-16T12:02:00Z
INC-0101,TASK-1008,X126,A15-B04,QUANTITY_MISMATCH,QUANTITY_MISMATCH: Observed count verified with supervisor. Inventory adjusted.,0,3,A15-B04,Resolved via inventory verification.,INVENTORY_VERIFICATION,419,OP-101,2026-08-10T19:55:00Z
INC-0102,TASK-1009,X127,A15-B03,WRONG_ITEM,WRONG_ITEM: Wrong variant stored in location. Relocated to correct zone.,5,5,A15-B03,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,306,OP-105,2026-08-22T11:59:00Z
INC-0103,TASK-1010,X128,A15-B05,BARCODE_FAILURE,BARCODE_FAILURE: Scanned master carton barcode instead of item barcode. Alternate barcode verified.,5,5,A15-B05,Resolved via alternate barcode verification.,ALTERNATE_BARCODE_VERIFICATION,102,OP-104,2026-08-22T20:59:00Z
INC-0104,TASK-1011,X129,A15-B06,DAMAGED_ITEM,DAMAGED_ITEM: Torn product seal observed. Product quarantined for inspection.,3,3,A15-B06,Resolved via damage exception.,DAMAGE_EXCEPTION,211,OP-102,2026-08-04T16:14:00Z
INC-0105,TASK-1012,X130,A12-B03,LOCATION_DISCREPANCY,LOCATION_DISCREPANCY: Item transferred to Zone Z02 without WMS update.,3,3,A12-B03,Resolved via location correction review.,LOCATION_CORRECTION_REVIEW,283,OP-102,2026-08-09T10:04:00Z
